municipality_code,prefecture,municipality_name,reading_katakana
132187,東京都,福生市,ふっさし
132195,東京都,狛江市,こまえし
132209,東京都,東大和市,ひがしやまとし
132217,東京都,清瀬市,きよせし
132225,東京都,東久留米市,ひがしくるめし
132233,東京都,武蔵村山市,むさしむらやまし
132241,東京都,多摩市,たまし
132250,東京都,稲城市,いなぎし
132276,東京都,羽村市,はむらし
132284,東京都,あきる野市,あきるのし
132292,東京都,西東京市,にしとうきょうし
133035,東京都,瑞穂町,みずほまち
133051,東京都,日の出町,ひのでまち
133078,東京都,檜原村,ひのはらむら
133086,東京都,奥多摩町,おくたままち
133612,東京都,大島町,おおしままち
133621,東京都,利島村,としまむら
133639,東京都,新島村,にいじまむら
133647,東京都,神津島村,こうづしまむら
133817,東京都,三宅村,みやけむら
133825,東京都,御蔵島村,みくらじまむら
134015,東京都,八丈町,はちじょうまち
134210,東京都,小笠原村,おがさわらむら
141003,神奈川県,横浜市,よこはまし
141305,神奈川県,川崎市,かわさきし
141500,神奈川県,相模原市,さがみはらし
142018,神奈川県,横須賀市,よこすかし
142034,神奈川県,平塚市,ひらつかし
142042,神奈川県,鎌倉市,かまくらし
142051,神奈川県,藤沢市,ふじさわし
142069,神奈川県,小田原市,おだわらし
142077,神奈川県,茅ヶ崎市,ちがさきし
142085,神奈川県,逗子市,ずしし
142107,神奈川県,三浦市,みうらし
142115,神奈川県,秦野市,はだのし
142123,神奈川県,厚木市,あつぎし
142131,神奈川県,大和市,やまとし
142140,神奈川県,伊勢原市,いせはらし
142158,神奈川県,海老名市,えびなし
142166,神奈川県,座間市,ざまし
142174,神奈川県,南足柄市,みなみあしがらし
142182,神奈川県,綾瀬市,あやせし
143014,神奈川県,葉山町,はやままち
143219,神奈川県,寒川町,さむかわまち
143413,神奈川県,大磯町,おおいそまち
143421,神奈川県,二宮町,にのみやまち
143618,神奈川県,中井町,なかいまち
143626,神奈川県,大井町,おおいまち
143634,神奈川県,松田町,まつだまち
143642,神奈川県,山北町,やまきたまち
