municipality_code,prefecture,municipality_name,reading_hiragana,municipality_category,name_short,reading_short
052108,秋田県,由利本荘市,ゆりほんじょうし,市,由利本荘,ゆりほんじょう
052116,秋田県,潟上市,かたがみし,市,潟上,かたがみ
052124,秋田県,大仙市,だいせんし,市,大仙,だいせん
052132,秋田県,北秋田市,きたあきたし,市,北秋田,きたあきた
052141,秋田県,にかほ市,にかほし,市,にかほ,にかほ
052159,秋田県,仙北市,せんぼくし,市,仙北,せんぼく
053031,秋田県,小坂町,こさかまち,町,小坂,こさか
053279,秋田県,上小阿仁村,かみこあにむら,村,上小阿仁,かみこあに
053465,秋田県,藤里町,ふじさとまち,町,藤里,ふじさと
053481,秋田県,三種町,みたねちょう,町,三種,みたね
053490,秋田県,八峰町,はっぽうちょう,町,八峰,はっぽう
053619,秋田県,五城目町,ごじょうめまち,町,五城目,ごじょうめ
053635,秋田県,八郎潟町,はちろうがたまち,町,八郎潟,はちろうがた
053660,秋田県,井川町,いかわまち,町,井川,いかわ
053686,秋田県,大潟村,おおがたむら,村,大潟,おおがた
054348,秋田県,美郷町,みさとちょう,町,美郷,みさと
054631,秋田県,羽後町,うごまち,町,羽後,うご
054640,秋田県,東成瀬村,ひがしなるせむら,村,東成瀬,ひがしなるせ
062014,山形県,山形市,やまがたし,市,山形,やまがた
062022,山形県,米沢市,よねざわし,市,米沢,よねざわ
062031,山形県,鶴岡市,つるおかし,市,鶴岡,つるおか
062049,山形県,酒田市,さかたし,市,酒田,さかた
062057,山形県,新庄市,しんじょうし,市,新庄,しんじょう
062065,山形県,寒河江市,さがえし,市,寒河江,さがえ
062073,山形県,上山市,かみのやまし,市,上山,かみのやま
062081,山形県,村山市,むらやまし,市,村山,むらやま
062090,山形県,長井市,ながいし,市,長井,ながい
062103,山形県,天童市,てんどうし,市,天童,てんどう
062111,山形県,東根市,ひがしねし,市,東根,ひがしね
062120,山形県,尾花沢市,おばなざわし,市,尾花沢,おばなざわ
062138,山形県,南陽市,なんようし,市,南陽,なんよう
063011,山形県,山辺町,やまのべまち,町,山辺,やまのべ
063029,山形県,中山町,なかやままち,町,中山,なかやま
063215,山形県,河北町,かほくちょう,町,河北,かほく
063223,山形県,西川町,にしかわまち,町,西川,にしかわ
063231,山形県,朝日町,あさひまち,町,朝日,あさひ
063240,山形県,大江町,おおえまち,町,大江,おおえ
063410,山形県,大石田町,おおいしだまち,町,大石田,おおいしだ
063614,山形県,金山町,かねやままち,町,金山,かねやま
063622,山形県,最上町,もがみまち,町,最上,もがみ
063631,山形県,舟形町,ふながたまち,町,舟形,ふながた
063649,山形県,真室川町,まむろがわまち,町,真室川,まむろがわ
063657,山形県,大蔵村,おおくらむら,村,大蔵,おおくら
063665,山形県,鮭川村,さけがわむら,村,鮭川,さけがわ
063673,山形県,戸沢村,とざわむら,村,戸沢,とざわ
063819,山形県,高畠町,たかはたまち,町,高畠,たかはた
063827,山形県,川西町,かわにしまち,町,川西,かわにし
064017,山形県,小国町,おぐにまち,町,小国,おぐに
064025,山形県,白鷹町,しらたかまち,町,白鷹,しらたか
064033,山形県,飯豊町,いいでまち,町,飯豊,いいで
064262,山形県,三川町,みかわまち,町,三川,みかわ
064289,山形県,庄内町,しようないまち,町,庄内,しようない
064611,山形県,遊佐町,ゆざまち,町,遊佐,ゆざ
072010,福島県,福島市,ふくしまし,市,福島,ふくしま
072028,福島県,会津若松市,あいづわかまつし,市,会津若松,あいづわかまつ
072036,福島県,郡山市,こおりやまし,市,郡山,こおりやま
072044,福島県,いわき市,いわきし,市,いわき,いわき
072052,福島県,白河市,しらかわし,市,白河,しらかわ
072079,福島県,須賀川市,すかがわし,市,須賀川,すかがわ
072087,福島県,喜多方市,きたかたし,市,喜多方,きたかた
072095,福島県,相馬市,そうまし,市,相馬,そうま
072109,福島県,二本松市,にほんまつし,市,二本松,にほんまつ
072117,福島県,田村市,たむらし,市,田村,たむら
072125,福島県,南相馬市,みなみそうまし,市,南相馬,みなみそうま
072133,福島県,伊達市,だてし,市,伊達,だて
072141,福島県,本宮市,もとみやし,市,本宮,もとみや
073016,福島県,桑折町,こおりまち,町,桑折,こおり
073032,福島県,国見町,くにみまち,町,国見,くにみ
073083,福島県,川俣町,かわまたまち,町,川俣,かわまた
073229,福島県,大玉村,おおたまむら,村,大玉,おおたま
073423,福島県,鏡石町,かがみいしまち,町,鏡石,かがみいし
073440,福島県,天栄村,てんえいむら,村,天栄,てんえい
073628,福島県,下郷町,しもごうまち,町,下郷,しもごう
073644,福島県,檜枝岐村,ひのえまたむら,村,檜枝岐,ひのえまた
073679,福島県,只見町,ただみまち,町,只見,ただみ
073687,福島県,南会津町,みなみあいづまち,町,南会津,みなみあいづ
074021,福島県,北塩原村,きたしおばらむら,村,北塩原,きたしおばら
074055,福島県,西会津町,にしあいづまち,町,西会津,にしあいづ
074071,福島県,磐梯町,ばんだいまち,町,磐梯,ばんだい
074080,福島県,猪苗代町,いなわしろまち,町,猪苗代,いなわしろ
074217,福島県,会津坂下町,あいづばんげまち,町,会津坂下,あいづばんげ
074225,福島県,湯川村,ゆがわむら,村,湯川,ゆがわ
074233,福島県,柳津町,やないづまち,町,柳津,やないづ
074446,福島県,三島町,みしままち,町,三島,みしま
074454,福島県,金山町,かねやままち,町,金山,かねやま
074462,福島県,昭和村,しょうわむら,村,昭和,しょうわ
074471,福島県,会津美里町,あいづみさとまち,町,会津美里,あいづみさと
074616,福島県,西郷村,にしごうむら,村,西郷,にしごう
074641,福島県,泉崎村,いずみざきむら,村,泉崎,いずみざき
074659,福島県,中島村,なかじまむら,村,中島,なかじま
074667,福島県,矢吹町,やぶきまち,町,矢吹,やぶき
074811,福島県,棚倉町,たなぐらまち,町,棚倉,たなぐら
074829,福島県,矢祭町,やまつりまち,町,矢祭,やまつり
074837,福島県,塙町,はなわまち,町,塙,はなわ
074845,福島県,鮫川村,さめがわむら,村,鮫川,さめがわ
075019,福島県,石川町,いしかわまち,町,石川,いしかわ
075027,福島県,玉川村,たまかわむら,村,玉川,たまかわ
075035,福島県,平田村,ひらたむら,村,平田,ひらた
075043,福島県,浅川町,あさかわまち,町,浅川,あさかわ
075051,福島県,古殿町,ふるどのまち,町,古殿,ふるどの
075213,福島県,三春町,みはるまち,町,三春,みはる
075221,福島県,小野町,おのまち,町,小野,おの
075418,福島県,広野町,ひろのまち,町,広野,ひろの
075426,福島県,楢葉町,ならはまち,町,楢葉,ならは
075434,福島県,富岡町,とみおかまち,町,富岡,とみおか
075442,福島県,川内村,かわうちむら,村,川内,かわうち
075451,福島県,大熊町,おおくままち,町,大熊,おおくま
075469,福島県,双葉町,ふたばまち,町,双葉,ふたば
075477,福島県,浪江町,なみえまち,町,浪江,なみえ
075485,福島県,葛尾村,かつらおむら,村,葛尾,かつらお
075612,福島県,新地町,しんちまち,町,新地,しんち
075647,福島県,飯舘村,いいたてむら,村,飯舘,いいたて
082015,茨城県,水戸市,みとし,市,水戸,みと
082023,茨城県,日立市,ひたちし,市,日立,ひたち
082031,茨城県,土浦市,つちうらし,市,土浦,つちうら
082040,茨城県,古河市,こがし,市,古河,こが
